	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
a	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ă	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	+
ã	+	+	-	+	+	+	-	n	+	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ã	+	+	-	+	+	+	-	n	+	-	-	-	-	-	+	-	-	+	-	-	n	-	-
a̝	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	-	-
a̝	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	-	-
a̞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
a̞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
a̠	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	-	-
a̤	+	+	-	+	+	+	-	n	-	-	+	-	-	-	+	-	-	+	-	-	n	-	-
ã̤	+	+	-	+	+	+	-	n	+	-	+	-	-	-	+	-	-	+	-	-	n	-	-
ḁ	+	-	-	+	+	-	-	n	-	-	+	-	-	-	+	-	-	+	-	-	n	-	-
a̰	+	+	-	+	+	+	+	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
a+	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
aː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	+	-
aː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	+	-
ãː	+	+	-	+	+	+	-	n	+	-	-	-	-	-	+	-	-	+	-	-	n	+	-
a̝ː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	+	-
a̪ː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	+	-
a̰ː	+	+	-	+	+	+	+	n	-	-	-	-	-	-	+	-	-	+	-	-	n	+	-
aːː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	+	+
æ	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	-	-	-	n	-	-
æ̃	+	+	-	+	+	+	-	n	+	-	-	+	+	-	+	-	-	-	-	-	n	-	-
æ̞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	-	-	-	n	-	-
æː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	-	-	-	n	+	-
æː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	-	-	-	n	+	-
ai	+	+	-	+	+	+	-	n	-	-	-	+	+	.	.	-	-	.	-	-	n	+	-
ai̯	+	+	-	+	+	+	-	n	-	-	-	+	+	.	.	-	-	.	-	-	n	+	-
aɪ	+	+	-	+	+	+	-	n	-	-	-	-	-	.	.	-	-	.	-	-	n	+	-
aj	+	+	-	+	+	+	-	n	-	-	-	+	+	.	.	-	-	+	-	-	n	+	-
ãⁿ	+	+	-	+	+	+	-	n	+	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ao	+	+	-	+	+	+	-	n	-	-	-	+	+	-	.	-	-	+	.	-	n	+	-
au	+	+	-	+	+	+	-	n	-	-	-	+	+	.	.	-	-	+	.	-	n	+	-
aʉ	+	+	-	+	+	+	-	n	-	-	-	+	+	.	.	-	-	+	.	-	n	+	-
aʊ	+	+	-	+	+	+	-	n	-	-	-	-	-	.	.	-	-	+	.	-	n	+	-
aʔ	+	+	-	+	+	+	+	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ãʔ	+	+	-	+	+	+	+	n	+	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ãʔ	+	+	-	+	+	+	+	n	+	-	-	-	-	-	+	-	-	+	-	-	n	-	-
a̤ʔ	+	+	-	+	+	+	+	n	-	-	+	-	-	-	+	-	-	+	-	-	n	-	-
ã̤ʔ	+	+	-	+	+	+	+	n	+	-	+	-	-	-	+	-	-	+	-	-	n	-	-
