	vocalic 	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
a	+	-	-	+	-	-	-	-	+	-	-	+	-	-	-
ă	+	-	-	+	-	-	-	-	+	-	-	+	-	-	+
ã	+	-	-	+	-	+	-	-	+	-	-	+	-	-	-
ã	+	-	-	+	-	+	-	-	+	-	-	+	-	-	-
a̝	+	-	-	+	-	-	-	+	+	-	-	+	-	-	-
a̝	+	-	-	+	-	-	-	+	+	-	-	+	-	-	-
a̞	+	-	-	+	-	-	-	-	+	-	-	+	-	-	-
a̞	+	-	-	+	-	-	-	-	+	-	-	+	-	-	-
a̠	+	-	-	+	-	-	-	+	+	-	-	+	-	-	-
a̤	+	-	-	+	-	-	-	-	+	-	-	+	-	-	-
ã̤	+	-	-	+	-	+	-	-	+	-	-	+	-	-	-
ḁ	-	-	-	-	-	-	-	-	+	-	-	+	-	-	-
a̰	+	-	-	+	+	-	-	-	+	-	-	+	-	-	-
a+	+	-	-	+	-	-	-	-	+	-	-	+	-	-	-
aː	+	-	-	+	-	-	-	-	+	-	-	+	-	+	-
aː	+	-	-	+	-	-	-	-	+	-	-	+	-	+	-
ãː	+	-	-	+	-	+	-	-	+	-	-	+	-	+	-
a̝ː	+	-	-	+	-	-	-	+	+	-	-	+	-	+	-
a̪ː	+	-	-	+	-	-	-	+	+	-	-	+	-	+	-
a̰ː	+	-	-	+	+	-	-	-	+	-	-	+	-	+	-
aːː	+	-	-	+	-	-	-	-	+	-	-	+	-	+	+
æ	+	-	-	+	-	-	-	+	+	-	-	-	-	-	-
æ̃	+	-	-	+	-	+	-	+	+	-	-	-	-	-	-
æ̞	+	-	-	+	-	-	-	-	+	-	-	-	-	-	-
æː	+	-	-	+	-	-	-	+	+	-	-	-	-	+	-
æː	+	-	-	+	-	-	-	+	+	-	-	-	-	+	-
ai	+	-	-	+	-	-	-	+	-	-	+	.	-	+	-
ai̯	+	-	-	+	-	-	-	+	-	-	+	.	-	+	-
aɪ	+	-	-	+	-	-	-	-	-	-	+	.	-	+	-
aj	+	-	-	+	-	-	-	+	-	-	+	.	-	+	-
ãⁿ	+	-	-	+	-	+	-	-	+	-	-	+	-	-	-
ao	+	-	-	+	-	-	-	+	-	-	-	+	.	+	-
au	+	-	-	+	-	-	-	+	-	-	+	+	.	+	-
aʉ	+	-	-	+	-	-	-	+	-	-	+	+	.	+	-
aʊ	+	-	-	+	-	-	-	-	-	-	+	+	.	+	-
aʔ	+	-	-	+	+	-	-	-	+	-	-	+	-	-	-
ãʔ	+	-	-	+	+	+	-	-	+	-	-	+	-	-	-
ãʔ	+	-	-	+	+	+	-	-	+	-	-	+	-	-	-
a̤ʔ	+	-	-	+	+	-	-	-	+	-	-	+	-	-	-
ã̤ʔ	+	-	-	+	+	+	-	-	+	-	-	+	-	-	-
aʔa	+	-	-	+	+	-	-	-	+	-	-	+	-	-	-
ãʔã	+	-	-	+	+	+	-	-	+	-	-	+	-	-	-
aˤ	+	-	-	+	-	-	-	-	+	-	-	+	+	-	-
ãˤ	+	-	-	+	-	+	-	-	+	-	-	+	+	-	-
a̤ˤ	+	-	-	+	-	-	-	-	+	-	-	+	+	-	-
ã̤ˤ	+	-	-	+	-	+	-	-	+	-	-	+	+	-	-
aˤʔ	+	-	-	+	+	-	-	-	+	-	-	+	+	-	-
ɐ	+	-	-	+	-	-	-	+	+	-	-	+	-	-	-
ɐː	+	-	-	+	-	-	-	+	+	-	-	+	-	+	-
ɑ	+	-	-	+	-	-	-	-	+	-	-	+	-	-	-
ɑ̃	+	-	-	+	-	+	-	-	+	-	-	+	-	-	-
ɑː	+	-	-	+	-	-	-	-	+	-	-	+	-	+	-
ɑː	+	-	-	+	-	-	-	-	+	-	-	+	-	+	-
ɒ	+	-	-	+	-	-	-	-	+	-	-	+	+	-	-
